DFW data by course for Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
ALS,History,HIST,HIST 143B,The Modern Middle East,Upper,3,42,2.4%,9.5%,13.6%,5.0%,15.0%,4.5%,0.0%,0.0%,25.0%,,,0.0%,6.3%,3.6%,21.4%,11.1%,9.1%,-8.6,-10.5,-6.3,-6.3,18.8,,,-6.3,17.9,2.0,52.4%,47.6%,52.4%,4.8%,9.5%,28.6%,,,2.4%,38.1%,66.7%,33.3%,21.4%,
NSM,Geology,GEOL,GEOL 111A,Field Geology,Upper,2,21,0.0%,9.5%,11.1%,8.3%,11.1%,8.3%,,,25.0%,0.0%,,0.0%,0.0%,0.0%,22.2%,0.0%,14.3%,-2.8,-2.8,,,25.0,0.0,,0.0,22.2,-14.3,42.9%,57.1%,57.1%,,,38.1%,4.8%,,4.8%,52.4%,57.1%,42.9%,33.3%,
NSM,Mathematics,MATH,MATH 190,History Of Mathematics,Upper,3,21,0.0%,9.5%,12.5%,7.7%,12.5%,7.7%,,0.0%,20.0%,,,50.0%,0.0%,6.3%,20.0%,20.0%,0.0%,-4.8,-4.8,,0.0,20.0,,,50.0,13.8,20.0,38.1%,61.9%,61.9%,,47.6%,23.8%,,,9.5%,19.0%,76.2%,23.8%,47.6%,
SSIS,Economics,ECON,ECON 141,Intro To Econometrics,Upper,3,21,0.0%,9.5%,0.0%,11.1%,18.2%,0.0%,0.0%,33.3%,0.0%,,0.0%,,0.0%,20.0%,0.0%,14.3%,0.0%,11.1,-18.2,0.0,33.3,0.0,,0.0,,-20.0,14.3,14.3%,85.7%,47.6%,9.5%,14.3%,38.1%,,4.8%,,23.8%,47.6%,52.4%,33.3%,
ECS,Computer Science,CSC,CSC 180,Intelligent Systems,Upper,3,31,0.0%,9.7%,0.0%,10.3%,15.8%,0.0%,0.0%,9.1%,16.7%,,,0.0%,9.1%,8.7%,12.5%,40.0%,4.2%,10.3,-15.8,-9.1,0.0,7.6,,,-9.1,3.8,35.8,6.5%,93.5%,38.7%,6.5%,35.5%,19.4%,,,3.2%,35.5%,74.2%,25.8%,16.1%,
SSIS,Anthropology,ANTH,ANTH 3,Intro To Archaeology,Lower,3,103,3.9%,9.7%,10.5%,8.7%,11.3%,8.0%,28.6%,10.0%,15.8%,0.0%,,0.0%,0.0%,3.5%,17.4%,16.7%,6.2%,-1.8,-3.3,28.6,10.0,15.8,0.0,,0.0,13.9,10.5,55.3%,44.7%,48.5%,6.8%,19.4%,36.9%,1.0%,,6.8%,26.2%,55.3%,44.7%,35.0%,
ALS,History,HIST,HIST 148A,Hist China:Antqty-1600 Ad,Upper,3,41,0.0%,9.8%,19.0%,0.0%,10.5%,9.1%,0.0%,0.0%,25.0%,0.0%,,0.0%,0.0%,3.7%,21.4%,20.0%,3.8%,-19.0,-1.4,0.0,0.0,25.0,0.0,,0.0,17.7,16.2,51.2%,48.8%,53.7%,2.4%,19.5%,29.3%,2.4%,,12.2%,31.7%,65.9%,34.1%,36.6%,
ECS,Civil Engineering,CE,CE 134,Open Channel Hydraulics,Upper,3,41,2.4%,9.8%,0.0%,16.0%,13.6%,5.3%,,0.0%,30.0%,,,,6.3%,3.2%,30.0%,9.5%,10.5%,16.0,-8.4,,-6.3,23.8,,,,26.8,-1.0,39.0%,61.0%,46.3%,,26.8%,24.4%,,,,39.0%,75.6%,24.4%,51.2%,
NSM,Geography,GEOG,GEOG 119,Visualizing Global Environ,Upper,3,41,0.0%,9.8%,8.0%,12.5%,5.0%,14.3%,0.0%,0.0%,17.6%,,,0.0%,7.7%,4.3%,16.7%,25.0%,6.5%,4.5,9.3,-7.7,-7.7,10.0,,,-7.7,12.3,18.5,61.0%,39.0%,51.2%,2.4%,7.3%,41.5%,,,9.8%,31.7%,56.1%,43.9%,19.5%,
SSIS,Economics,ECON,ECON 181,Economics of Racism,Upper,3,41,0.0%,9.8%,13.3%,7.7%,8.3%,11.8%,0.0%,11.1%,7.1%,,0.0%,33.3%,12.5%,13.6%,5.3%,9.1%,10.0%,-5.6,3.4,-12.5,-1.4,-5.4,,-12.5,20.8,-8.4,-0.9,36.6%,63.4%,41.5%,9.8%,22.0%,34.1%,,2.4%,7.3%,19.5%,53.7%,46.3%,26.8%,
ED,Undergraduate Studies in Education,EDUC,EDUC 120,Literature For Children,Upper,3,92,2.2%,9.8%,11.5%,0.0%,14.3%,7.0%,50.0%,11.1%,9.1%,,0.0%,0.0%,5.9%,7.0%,12.2%,10.0%,10.0%,-11.5,-7.3,44.1,5.2,3.2,,-5.9,-5.9,5.3,0.0,84.8%,15.2%,62.0%,4.3%,19.6%,47.8%,,1.1%,1.1%,18.5%,46.7%,53.3%,43.5%,
ECS,Electrical and Electronic Engineering,ENGR,ENGR 1,Intro To Engineering,Lower,1,51,2.0%,9.8%,0.0%,10.9%,4.2%,14.8%,20.0%,6.7%,16.7%,,,0.0%,0.0%,3.6%,17.4%,20.0%,0.0%,10.9,10.6,20.0,6.7,16.7,,,0.0,13.8,20.0,9.8%,90.2%,52.9%,9.8%,29.4%,35.3%,,,5.9%,13.7%,54.9%,45.1%,49.0%,
ALS,Theatre and Dance,THEA,THEA 9,Appreciation Of Acting,Lower,3,151,4.0%,9.9%,6.7%,15.0%,6.8%,12.0%,26.7%,8.7%,11.8%,,0.0%,0.0%,0.0%,3.4%,14.0%,14.3%,7.5%,8.3,5.2,26.7,8.7,11.8,,0.0,0.0,10.5,6.8,59.6%,39.7%,60.9%,9.9%,15.2%,50.3%,,1.3%,7.3%,10.6%,38.4%,61.6%,37.1%,
ALS,Art,ART,ART 153,Handbuilt Ceramic Techniq,Upper,3,10,,10.0%,0.0%,25.0%,33.3%,0.0%,,0.0%,20.0%,,,,0.0%,0.0%,20.0%,33.3%,0.0%,25.0,-33.3,,0.0,20.0,,,,20.0,33.3,60.0%,40.0%,70.0%,,10.0%,50.0%,,,,40.0%,50.0%,50.0%,30.0%,
ALS,Communication Studies,JOUR,JOUR 134/POLS 134,"War,Peace+Mass Media",Upper,3,30,0.0%,10.0%,0.0%,21.4%,13.3%,6.7%,0.0%,0.0%,0.0%,,,40.0%,0.0%,20.0%,0.0%,16.7%,6.3%,21.4,-6.7,0.0,0.0,0.0,,,40.0,-20.0,10.4,53.3%,46.7%,50.0%,13.3%,6.7%,36.7%,,,16.7%,16.7%,50.0%,50.0%,40.0%,
ALS,English,ENGL,ENGL 30A,Intro to Creative Writing,Lower,4,30,0.0%,10.0%,12.5%,0.0%,6.7%,13.3%,50.0%,20.0%,0.0%,0.0%,,0.0%,6.7%,8.7%,14.3%,25.0%,4.0%,-12.5,6.7,43.3,13.3,-6.7,-6.7,,-6.7,5.6,21.0,80.0%,20.0%,50.0%,6.7%,16.7%,13.3%,3.3%,,10.0%,50.0%,76.7%,23.3%,13.3%,
ALS,Philosophy,PHIL,PHIL 101,Ethics+Social Issues,Upper,3,30,0.0%,10.0%,18.2%,5.3%,14.3%,6.3%,,0.0%,7.1%,0.0%,,33.3%,0.0%,13.3%,6.7%,8.3%,11.8%,-12.9,-8.0,,0.0,7.1,0.0,,33.3,-6.7,-3.4,36.7%,63.3%,53.3%,,10.0%,46.7%,3.3%,,10.0%,23.3%,50.0%,50.0%,40.0%,
ALS,Philosophy,PHIL,PHIL 153,Philosophy Of Mind,Upper,3,10,10.0%,10.0%,0.0%,20.0%,20.0%,0.0%,,0.0%,33.3%,,,0.0%,0.0%,0.0%,33.3%,20.0%,0.0%,20.0,-20.0,,0.0,33.3,,,0.0,33.3,20.0,50.0%,50.0%,50.0%,,30.0%,30.0%,,,10.0%,20.0%,70.0%,30.0%,50.0%,
COB,Accounting,ACCY,ACCY 190,International Accounting,Upper,3,40,0.0%,10.0%,11.1%,9.1%,11.8%,8.7%,,17.6%,7.1%,,,0.0%,0.0%,11.5%,7.1%,13.6%,6.7%,-2.0,-3.1,,17.6,7.1,,,0.0,-4.4,7.0,45.0%,55.0%,57.5%,,42.5%,35.0%,,,2.5%,5.0%,65.0%,35.0%,55.0%,
ECS,Construction Management,CM,CM 126,Constr Project Management,Upper,3,30,13.3%,10.0%,0.0%,11.1%,9.1%,10.5%,0.0%,50.0%,7.7%,,,0.0%,9.1%,13.3%,6.7%,6.7%,13.3%,11.1,1.4,-9.1,40.9,-1.4,,,-9.1,-6.7,-6.7,10.0%,90.0%,63.3%,6.7%,6.7%,43.3%,,,3.3%,36.7%,50.0%,50.0%,50.0%,
ECS,Electrical and Electronic Engineering,CPE,CPE 187,Embedded Sys Design,Upper,3,20,0.0%,10.0%,0.0%,11.1%,16.7%,0.0%,,0.0%,14.3%,,,,0.0%,7.7%,14.3%,0.0%,15.4%,11.1,-16.7,,0.0,14.3,,,,6.6,-15.4,10.0%,90.0%,40.0%,,45.0%,35.0%,,,,5.0%,65.0%,35.0%,35.0%,
ECS,Electrical and Electronic Engineering,EEE,EEE 108L,Electronics I Laboratory,Upper,1,70,8.6%,10.0%,10.0%,10.0%,15.4%,3.2%,0.0%,13.0%,6.3%,100.0%,,0.0%,9.1%,10.0%,10.0%,13.6%,8.7%,0.0,-12.2,-9.1,4.0,-2.8,90.9,,-9.1,0.0,4.9,14.3%,85.7%,44.3%,4.3%,32.9%,22.9%,1.4%,,7.1%,15.7%,71.4%,28.6%,31.4%,
ECS,Mechanical Engineering,ME,ME 145,Vehicle Crash Reconstruction,Upper,3,20,0.0%,10.0%,,10.5%,0.0%,28.6%,,0.0%,50.0%,0.0%,,0.0%,0.0%,0.0%,40.0%,40.0%,0.0%,,28.6,,0.0,50.0,0.0,,0.0,40.0,40.0,,95.0%,35.0%,,10.0%,20.0%,5.0%,,5.0%,55.0%,75.0%,25.0%,25.0%,
ED,Undergraduate Studies in Education,CHAD,CHAD 157,Infant+Toddler-Devl+Care,Upper,3,40,2.5%,10.0%,10.3%,0.0%,14.3%,7.7%,0.0%,0.0%,15.0%,,,0.0%,0.0%,6.3%,12.5%,14.3%,5.9%,-10.3,-6.6,0.0,0.0,15.0,,,0.0,6.3,8.4,97.5%,2.5%,65.0%,10.0%,12.5%,50.0%,,,2.5%,10.0%,40.0%,60.0%,52.5%,
ED,Undergraduate Studies in Education,DEAF,DEAF 165,Curr Issues in the Deaf -Wor,Upper,3,20,,10.0%,5.9%,33.3%,10.0%,10.0%,66.7%,,0.0%,,,0.0%,0.0%,0.0%,28.6%,16.7%,7.7%,27.5,0.0,66.7,,0.0,,,0.0,28.6,9.0,85.0%,15.0%,50.0%,15.0%,,20.0%,,,10.0%,50.0%,65.0%,35.0%,30.0%,
NSM,Geography,GEOG,GEOG 161,California Water Resource,Upper,3,30,3.3%,10.0%,7.7%,11.8%,9.1%,12.5%,0.0%,0.0%,28.6%,,,,5.9%,4.5%,25.0%,28.6%,5.0%,4.1,3.4,-5.9,-5.9,22.7,,,,20.5,23.6,43.3%,56.7%,26.7%,3.3%,6.7%,23.3%,,,,56.7%,73.3%,26.7%,23.3%,
NSM,Physics,PHYS,PHYS 199,Special Problems,Upper,1.2,7,,10.0%,,10.0%,10.0%,,,100.0%,0.0%,,,,0.0%,11.1%,0.0%,0.0%,16.7%,,,,100.0,0.0,,,,-11.1,-16.7,,100.0%,,,14.3%,14.3%,,,,14.3%,85.7%,14.3%,14.3%,
SSIS,Economics,ECON,ECON 145,Econ Research Methods,Upper,3,90,5.6%,10.0%,7.7%,10.9%,12.0%,7.5%,0.0%,16.0%,9.1%,,0.0%,33.3%,0.0%,11.3%,8.1%,13.5%,8.2%,3.2,-4.5,0.0,16.0,9.1,,0.0,33.3,-3.2,5.4,28.9%,71.1%,44.4%,3.3%,27.8%,36.7%,,1.1%,3.3%,18.9%,58.9%,41.1%,41.1%,
SSIS,Environmental Studies,ENVS,ENVS 112,Internatnl Envir Problems,Upper,3,40,0.0%,10.0%,3.4%,27.3%,18.2%,0.0%,0.0%,20.0%,12.5%,50.0%,,0.0%,5.9%,6.9%,18.2%,0.0%,13.8%,23.8,-18.2,-5.9,14.1,6.6,44.1,,-5.9,11.3,-13.8,72.5%,27.5%,45.0%,2.5%,12.5%,20.0%,5.0%,,17.5%,42.5%,72.5%,27.5%,27.5%,
SSIS,Environmental Studies,ENVS,ENVS 190,Senior Thesis,Upper,3,40,2.5%,10.0%,11.5%,7.1%,4.3%,17.6%,50.0%,0.0%,12.5%,0.0%,0.0%,0.0%,8.3%,5.0%,15.0%,0.0%,14.3%,-4.4,13.3,41.7,-8.3,4.2,-8.3,-8.3,-8.3,10.0,-14.3,65.0%,35.0%,42.5%,5.0%,12.5%,40.0%,2.5%,2.5%,2.5%,30.0%,50.0%,50.0%,30.0%,
SSIS,Psychology,PSYC,PSYC 104,Learning Theories,Upper,3,110,1.8%,10.0%,10.4%,9.1%,14.3%,5.6%,25.0%,11.1%,13.2%,,0.0%,12.5%,5.9%,7.5%,14.0%,14.7%,8.1%,-1.3,-8.7,19.1,5.2,7.3,,-5.9,6.6,6.5,6.6,70.0%,30.0%,49.1%,3.6%,16.4%,34.5%,,0.9%,7.3%,30.9%,60.9%,39.1%,30.9%,
SSIS,Sociology,SOC,SOC 124,Social Justice,Upper,3,80,2.5%,10.0%,7.9%,18.8%,12.1%,8.5%,5.9%,25.0%,10.3%,,0.0%,0.0%,8.3%,12.5%,8.3%,13.2%,7.3%,10.8,-3.6,-2.5,16.7,2.0,,-8.3,-8.3,-4.2,5.8,78.8%,20.0%,58.8%,21.3%,10.0%,36.3%,,2.5%,5.0%,15.0%,40.0%,60.0%,47.5%,
SSIS,Sociology,SOC,SOC 126,Sociology of Gender,Upper,3,120,2.5%,10.0%,8.4%,16.0%,7.7%,12.7%,11.8%,17.6%,12.0%,,0.0%,0.0%,6.7%,7.7%,11.8%,12.5%,9.2%,7.6,5.0,5.1,11.0,5.3,,-6.7,-6.7,4.1,3.3,79.2%,20.8%,45.8%,14.2%,14.2%,41.7%,,0.8%,9.2%,12.5%,43.3%,56.7%,40.0%,
SSIS,Sociology,SOC,SOC 136,Social Movements,Upper,3,40,2.5%,10.0%,6.9%,18.2%,19.0%,0.0%,0.0%,0.0%,10.0%,,50.0%,,14.3%,7.7%,11.1%,10.0%,10.0%,11.3,-19.0,-14.3,-14.3,-4.3,,35.7,,3.4,0.0,72.5%,27.5%,47.5%,12.5%,10.0%,50.0%,,5.0%,,17.5%,32.5%,67.5%,50.0%,
SSIS,Psychology,PSYC,PSYC 130,Personality Theories,Upper,3,159,1.3%,10.1%,10.7%,8.3%,7.1%,15.0%,0.0%,12.5%,17.7%,,0.0%,0.0%,5.9%,5.7%,15.3%,11.5%,9.4%,-2.3,7.9,-5.9,6.6,11.9,,-5.9,-5.9,9.5,2.1,76.7%,22.6%,37.7%,5.7%,10.1%,39.0%,,0.6%,6.3%,32.1%,54.7%,45.3%,32.7%,
HHS,Criminal Justice,CRJ,CRJ 5,Community&Justice System,Lower,3,129,5.4%,10.1%,9.6%,10.9%,7.4%,12.0%,7.7%,0.0%,10.6%,,0.0%,20.0%,8.3%,10.6%,9.8%,11.3%,8.3%,1.2,4.6,-0.6,-8.3,2.3,,-8.3,11.7,-0.9,3.0,64.3%,35.7%,58.1%,10.1%,7.8%,51.2%,,2.3%,3.9%,18.6%,36.4%,63.6%,41.1%,
ALS,English,ENGL,ENGL 20M,Col Comp II Multilingual,Lower,3,89,1.1%,10.1%,16.0%,2.6%,17.1%,5.6%,25.0%,14.3%,7.5%,,0.0%,,0.0%,11.6%,8.7%,13.0%,9.4%,-13.4,-11.6,25.0,14.3,7.5,,0.0,,-2.9,3.7,56.2%,43.8%,60.7%,4.5%,23.6%,44.9%,,2.2%,,9.0%,48.3%,51.7%,51.7%,
NSM,Geology,GEOL,GEOL 140,Geology+Environment,Upper,3,69,5.8%,10.1%,18.2%,6.4%,11.1%,9.1%,25.0%,14.3%,8.3%,,0.0%,33.3%,5.0%,10.0%,10.3%,24.0%,2.3%,-11.8,-2.0,20.0,9.3,3.3,,-5.0,28.3,0.3,21.7,31.9%,68.1%,47.8%,5.8%,20.3%,34.8%,,1.4%,4.3%,29.0%,58.0%,42.0%,36.2%,
HHS,Social Work,SWRK,SWRK 126,Theories Criminal Behav,Upper,3,49,2.0%,10.2%,7.9%,18.2%,5.3%,13.3%,50.0%,0.0%,12.5%,,0.0%,50.0%,0.0%,4.5%,14.8%,9.1%,10.0%,10.3,8.1,50.0,0.0,12.5,,0.0,50.0,10.3,-0.9,77.6%,22.4%,61.2%,4.1%,8.2%,49.0%,,2.0%,4.1%,24.5%,44.9%,55.1%,44.9%,
ALS,Department of Design,PHOT,PHOT 11,Digital Photography I,Lower,3,156,2.6%,10.3%,10.4%,8.5%,11.3%,9.2%,37.5%,7.7%,9.4%,,0.0%,14.3%,5.6%,8.5%,12.9%,7.8%,10.1%,-1.9,-2.0,31.9,2.1,3.9,,-5.6,8.7,4.4,-2.3,61.5%,37.8%,48.7%,5.1%,25.0%,34.0%,,0.6%,4.5%,23.1%,60.3%,39.7%,32.7%,
ALS,History,HIST,HIST 133,20th-Century World Hist,Upper,3,39,7.7%,10.3%,10.5%,10.0%,13.6%,5.9%,25.0%,0.0%,0.0%,,,0.0%,10.5%,13.0%,6.3%,8.3%,11.1%,-0.5,-7.8,14.5,-10.5,-10.5,,,-10.5,-6.8,-2.8,48.7%,51.3%,43.6%,10.3%,2.6%,30.8%,,,2.6%,48.7%,59.0%,41.0%,30.8%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12V,Peer-Assisted Learning BIO 25,Lower,1,39,,10.3%,9.4%,14.3%,0.0%,16.7%,66.7%,0.0%,15.4%,,0.0%,0.0%,0.0%,0.0%,23.5%,16.7%,4.8%,4.9,16.7,66.7,0.0,15.4,,0.0,0.0,23.5,11.9,82.1%,17.9%,61.5%,7.7%,33.3%,33.3%,,2.6%,2.6%,12.8%,56.4%,43.6%,46.2%,
SSIS,Ethnic Studies,ETHN,ETHN 115,Biracial+Multiracial Iden,Upper,3,78,1.3%,10.3%,11.3%,6.3%,11.4%,9.3%,8.3%,0.0%,14.3%,,,10.0%,10.0%,6.5%,12.8%,14.3%,9.3%,-5.0,-2.1,-1.7,-10.0,4.3,,,0.0,6.3,5.0,79.5%,20.5%,55.1%,15.4%,9.0%,44.9%,,,12.8%,12.8%,39.7%,60.3%,26.9%,
SSIS,Psychology,PSYC,PSYC 160,Homosexuality,Upper,3,39,0.0%,10.3%,8.3%,33.3%,5.0%,15.8%,0.0%,0.0%,12.5%,,0.0%,0.0%,14.3%,9.5%,11.1%,5.9%,10.0%,25.0,10.8,-14.3,-14.3,-1.8,,-14.3,-14.3,1.6,-4.1,92.3%,7.7%,48.7%,2.6%,7.7%,41.0%,,2.6%,2.6%,35.9%,53.8%,46.2%,43.6%,
SSIS,Sociology,SOC,SOC 164,Sociology Of Globalizatn,Upper,3,39,2.6%,10.3%,9.4%,14.3%,13.3%,8.3%,0.0%,0.0%,9.5%,,,20.0%,33.3%,13.3%,8.3%,6.3%,13.0%,4.9,-5.0,-33.3,-33.3,-23.8,,,-13.3,-5.0,-6.8,82.1%,17.9%,61.5%,7.7%,15.4%,53.8%,,,12.8%,7.7%,38.5%,61.5%,41.0%,
SSIS,Psychology,PSYC,PSYC 185,Psych of Exceptional Children,Upper,3,107,2.8%,10.3%,11.7%,6.7%,10.9%,9.6%,16.7%,10.0%,10.5%,,0.0%,14.3%,9.4%,9.7%,11.1%,10.5%,9.2%,-5.0,-1.3,7.3,0.6,1.2,,-9.4,4.9,1.4,1.3,72.0%,28.0%,48.6%,5.6%,18.7%,35.5%,,0.9%,6.5%,29.9%,57.9%,42.1%,35.5%,
ALS,Philosophy,PHIL,PHIL 102,Prof and Public Service Ethics,Upper,3,77,0.0%,10.4%,16.3%,0.0%,5.4%,15.0%,33.3%,7.7%,11.8%,,,20.0%,0.0%,5.4%,15.0%,15.2%,6.8%,-16.3,9.6,33.3,7.7,11.8,,,20.0,9.6,8.3,63.6%,36.4%,51.9%,7.8%,16.9%,44.2%,,,6.5%,20.8%,48.1%,51.9%,42.9%,
ALS,History,HIST,HIST 51,World History II: from 1500,Lower,3,163,3.7%,10.4%,9.9%,10.9%,11.6%,9.1%,16.7%,6.9%,8.2%,,0.0%,9.1%,17.5%,11.2%,9.5%,13.0%,9.4%,1.0,-2.5,-0.8,-10.6,-9.3,,-17.5,-8.4,-1.8,3.5,43.6%,56.4%,47.2%,7.4%,17.8%,37.4%,,0.6%,6.7%,24.5%,54.6%,45.4%,33.1%,
ECS,Electrical and Electronic Engineering,ENGR,ENGR 120,Probability+Random Signal,Upper,3,67,4.5%,10.4%,0.0%,11.3%,13.9%,6.5%,0.0%,22.2%,9.1%,,,0.0%,0.0%,12.2%,7.7%,8.3%,12.5%,11.3,-7.4,0.0,22.2,9.1,,,0.0,-4.5,-4.2,7.5%,92.5%,46.3%,6.0%,26.9%,32.8%,,,4.5%,14.9%,61.2%,38.8%,35.8%,
ED,Undergraduate Studies in Education,CHAD,CHAD 143,Mind+Brain Devlpmntl Context,Upper,3,162,3.7%,10.5%,11.0%,6.3%,13.4%,8.4%,25.0%,10.3%,11.9%,,25.0%,12.5%,2.6%,6.9%,14.7%,13.5%,8.0%,-4.7,-5.0,22.4,7.8,9.3,,22.4,9.9,7.8,5.5,90.1%,9.9%,58.6%,7.4%,17.9%,36.4%,,2.5%,4.9%,24.1%,53.7%,46.3%,45.7%,
ALS,History,HIST,HIST 186C,Sacramento History,Upper,3,38,0.0%,10.5%,5.3%,15.8%,10.0%,11.1%,0.0%,0.0%,10.0%,,,0.0%,16.7%,12.5%,7.1%,11.1%,10.7%,10.5,1.1,-16.7,-16.7,-6.7,,,-16.7,-5.4,0.4,50.0%,50.0%,47.4%,10.5%,2.6%,26.3%,,,5.3%,47.4%,63.2%,36.8%,23.7%,
ALS,History,HIST,HIST 198,Sum Assess For Teachers,Upper,3,19,0.0%,10.5%,28.6%,0.0%,25.0%,0.0%,,0.0%,33.3%,,,0.0%,0.0%,0.0%,33.3%,20.0%,7.1%,-28.6,-25.0,,0.0,33.3,,,0.0,33.3,12.9,36.8%,63.2%,57.9%,,15.8%,31.6%,,,15.8%,36.8%,68.4%,31.6%,26.3%,
COB,Finance and Insurance and RE,FIN,FIN 142,Real Estate Finance,Upper,3,38,0.0%,10.5%,21.1%,0.0%,10.5%,10.5%,33.3%,0.0%,9.1%,,,0.0%,22.2%,8.3%,14.3%,13.3%,10.0%,-21.1,0.0,11.1,-22.2,-13.1,,,-22.2,6.0,3.3,50.0%,50.0%,50.0%,7.9%,26.3%,28.9%,,,5.3%,23.7%,63.2%,36.8%,39.5%,
COB,Info Sys and Biz Analytics,MIS,MIS 163,Bus Process and ERP Config,Upper,3,19,0.0%,10.5%,25.0%,0.0%,14.3%,8.3%,,0.0%,0.0%,,,0.0%,50.0%,12.5%,0.0%,14.3%,9.1%,-25.0,-6.0,,-50.0,-50.0,,,-50.0,-12.5,5.2,42.1%,57.9%,63.2%,,42.1%,15.8%,,,5.3%,21.1%,84.2%,15.8%,36.8%,
HHS,Kinesiology,KINS,KINS 194A,Assign Fld Exper In Kins,Upper,2,10,,10.5%,16.7%,0.0%,0.0%,33.3%,,33.3%,0.0%,,,,0.0%,16.7%,0.0%,28.6%,0.0%,-16.7,33.3,,33.3,0.0,,,,-16.7,28.6,60.0%,40.0%,30.0%,,30.0%,40.0%,,,,30.0%,60.0%,40.0%,40.0%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12A,Peer-Assisted Learning CHEM 4,Lower,1,19,,10.5%,18.2%,0.0%,12.5%,9.1%,,50.0%,0.0%,,,0.0%,50.0%,25.0%,0.0%,11.1%,12.5%,-18.2,-3.4,,0.0,-50.0,,,-50.0,-25.0,-1.4,57.9%,42.1%,57.9%,,10.5%,57.9%,,,15.8%,10.5%,42.1%,57.9%,47.4%,
SSIS,Anthropology,ANTH,ANTH 152,Comparative Primate Morphology,Upper,3,19,0.0%,10.5%,7.7%,16.7%,18.2%,0.0%,0.0%,,0.0%,,,25.0%,0.0%,13.3%,0.0%,50.0%,0.0%,9.0,-18.2,0.0,,0.0,,,25.0,-13.3,50.0,68.4%,31.6%,42.1%,10.5%,,10.5%,,,21.1%,47.4%,78.9%,21.1%,21.1%,
SSIS,Economics,ECON,ECON 1B,Intro Microeconomic Analy,Lower,3,437,3.9%,10.5%,13.5%,8.3%,8.8%,12.3%,16.0%,5.7%,14.8%,50.0%,0.0%,9.4%,6.8%,7.6%,15.0%,14.7%,8.5%,-5.2,3.5,9.2,-1.2,8.0,43.2,-6.8,2.6,7.5,6.2,42.3%,57.7%,48.3%,5.7%,24.3%,32.5%,0.5%,0.9%,7.3%,20.1%,60.4%,39.6%,32.7%,
SSIS,Family and Consumer Sciences,FASH,FASH 134,Intro to the Fashion Industry,Upper,3,19,5.3%,10.5%,14.3%,0.0%,12.5%,9.1%,0.0%,20.0%,0.0%,,,,25.0%,20.0%,0.0%,0.0%,20.0%,-14.3,-3.4,-25.0,-5.0,-25.0,,,,-20.0,-20.0,73.7%,26.3%,57.9%,15.8%,26.3%,31.6%,,,,21.1%,52.6%,47.4%,42.1%,
SSIS,Psychology,PSYC,PSYC 115,Introduction Neuroscience,Upper,4,19,0.0%,10.5%,10.0%,11.1%,0.0%,33.3%,,0.0%,14.3%,,,25.0%,0.0%,8.3%,14.3%,0.0%,12.5%,1.1,33.3,,0.0,14.3,,,25.0,6.0,-12.5,52.6%,47.4%,31.6%,,5.3%,36.8%,,,21.1%,21.1%,63.2%,36.8%,10.5%,
SSIS,Psychology,PSYC,PSYC 143,Practicum in Community Psych,Upper,3,19,0.0%,10.5%,7.1%,20.0%,20.0%,7.1%,,25.0%,0.0%,,,0.0%,25.0%,16.7%,0.0%,0.0%,20.0%,12.9,-12.9,,0.0,-25.0,,,-25.0,-16.7,-20.0,73.7%,26.3%,73.7%,,21.1%,36.8%,,,10.5%,21.1%,63.2%,36.8%,47.4%,
SSIS,Sociology,SOC,SOC 171,Sociology of Religion,Upper,3,38,7.9%,10.5%,10.0%,12.5%,16.7%,7.7%,0.0%,0.0%,14.3%,,0.0%,0.0%,33.3%,7.1%,12.5%,14.3%,5.9%,2.5,-9.0,-33.3,-33.3,-19.0,,-33.3,-33.3,5.4,8.4,78.9%,21.1%,68.4%,5.3%,18.4%,55.3%,,2.6%,2.6%,7.9%,36.8%,63.2%,55.3%,
ALS,Communication Studies,COMS,COMS 55/JOUR 55,Media Communication+Soc,Lower,3,199,4.0%,10.6%,9.6%,12.0%,9.7%,11.6%,9.5%,16.1%,10.0%,0.0%,0.0%,12.5%,7.1%,11.5%,9.5%,12.9%,9.3%,2.5,1.9,2.4,9.0,2.9,-7.1,-7.1,5.4,-2.1,3.6,57.8%,41.7%,43.2%,10.6%,15.6%,35.2%,1.0%,1.0%,8.0%,21.1%,52.3%,47.7%,31.2%,
ALS,Department of Design,GPHD,GPHD 20,History Of Graphic Design,Lower,3,142,2.8%,10.6%,9.2%,12.1%,10.6%,10.5%,0.0%,12.9%,11.7%,,,0.0%,11.5%,10.5%,10.6%,10.4%,10.5%,2.9,-0.1,-11.5,1.4,0.1,,,-11.5,0.1,0.0,53.5%,46.5%,53.5%,4.2%,21.8%,42.3%,,,6.3%,18.3%,53.5%,46.5%,33.8%,
