DFW data by course for Fall 2020 - Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,% of enrolled students who are repeating,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
ECS,Civil Engineering,CE,CE 141,Traffic Analysis and Design,Upper,3,2,67,34,,0.0%,1.5%,0.0%,2.3%,2.4%,0.0%,0.0%,5.3%,0.0%,,,0.0%,0.0%,2.6%,0.0%,0.0%,2.6%,2.3,-2.4,0.0,5.3,0.0,,,0.0,-2.6,-2.6,35.8%,64.2%,37.3%,9.0%,28.4%,32.8%,,,1.5%,14.9%,58.2%,41.8%,41.8%,
ECS,Civil Engineering,CE,CE 142,Transportation Systems,Upper,3,2,48,24,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,33.3%,66.7%,37.5%,,39.6%,29.2%,,,6.3%,18.8%,70.8%,29.2%,39.6%,
ECS,Civil Engineering,CE,CE 150,Principles of Envir Engr,Upper,2,4,407,102,5.9%,12.8%,21.9%,15.5%,24.5%,22.2%,21.5%,30.0%,21.4%,29.5%,,0.0%,31.3%,11.2%,18.7%,29.3%,22.9%,20.8%,9.0,-0.7,18.8,10.2,18.3,,-11.2,20.1,10.6,2.1,28.5%,71.3%,51.4%,2.5%,24.1%,27.5%,,0.2%,3.9%,30.7%,69.8%,30.2%,34.4%,
ECS,Civil Engineering,CE,CE 150L,Envir Engr Lab,Upper,1,4,392,98,6.1%,9.3%,14.3%,14.9%,14.1%,15.7%,12.8%,20.0%,12.8%,20.6%,,0.0%,13.3%,8.0%,11.8%,20.4%,13.2%,15.1%,-0.8,-2.9,12.0,4.8,12.6,,-8.0,5.3,8.5,-2.0,29.1%,70.7%,49.7%,2.6%,24.0%,26.0%,,0.3%,3.8%,31.9%,71.2%,28.8%,32.9%,
ECS,Civil Engineering,CE,CE 151,Envir Engr Practice,Upper,2,4,311,78,0.7%,4.0%,4.2%,4.8%,3.9%,3.0%,5.6%,12.5%,1.3%,7.8%,,,0.0%,2.1%,2.3%,8.2%,6.6%,2.6%,-0.9,2.6,10.4,-0.8,5.7,,,-2.1,5.8,4.1,33.8%,65.9%,46.3%,2.6%,24.1%,28.9%,,,3.2%,30.9%,68.5%,31.5%,34.1%,
ECS,Civil Engineering,CE,CE 153,Dsgn Wtr Qual Contr Procs,Upper,3,1,13,13,,0.0%,23.1%,0.0%,37.5%,25.0%,20.0%,,,33.3%,,,50.0%,0.0%,14.3%,33.3%,16.7%,28.6%,37.5,-5.0,,,33.3,,,50.0,19.0,-11.9,38.5%,61.5%,38.5%,,,46.2%,,,15.4%,30.8%,53.8%,46.2%,46.2%,
ECS,Civil Engineering,CE,CE 160,Intro Structural Analysis,Upper,3,4,297,74,18.7%,21.8%,24.2%,16.5%,27.1%,25.8%,22.6%,60.0%,29.2%,24.0%,,50.0%,25.0%,15.1%,22.4%,28.7%,17.5%,27.0%,10.6,-3.2,44.9,14.1,8.9,,34.9,9.9,6.4,-9.5,26.6%,73.4%,49.2%,3.4%,24.2%,25.3%,,0.7%,2.7%,31.3%,70.7%,29.3%,32.7%,
ECS,Civil Engineering,CE,CE 160L,Structural Laboratory,Upper,1,4,290,73,1.9%,0.8%,1.4%,1.2%,1.5%,0.7%,2.1%,0.0%,4.4%,1.3%,,,0.0%,0.0%,1.5%,1.2%,1.0%,1.7%,0.3,1.4,0.0,4.4,1.3,,,0.0,-0.3,-0.7,29.7%,70.0%,49.0%,3.1%,23.4%,25.9%,,,3.8%,31.7%,71.0%,29.0%,36.2%,
ECS,Civil Engineering,CE,CE 163,Structural Steel Design,Upper,3,2,93,47,6.5%,,10.8%,6.5%,12.9%,11.5%,9.8%,50.0%,0.0%,18.5%,,,16.7%,3.7%,6.3%,20.7%,19.4%,5.3%,6.5,-1.8,46.3,-3.7,14.8,,,13.0,14.4,14.1,33.3%,66.7%,44.1%,2.2%,24.7%,29.0%,,,6.5%,29.0%,68.8%,31.2%,33.3%,
ECS,Civil Engineering,CE,CE 164,Reinforced Concrete Desgn,Upper,3,4,174,44,5.5%,4.8%,14.9%,3.9%,18.9%,10.3%,20.8%,0.0%,13.8%,16.7%,,,0.0%,14.8%,14.4%,15.9%,15.6%,14.2%,14.9,10.5,-14.8,-1.0,1.9,,,-14.8,1.5,1.5,29.3%,70.1%,44.3%,1.7%,16.7%,34.5%,,,1.7%,35.1%,63.8%,36.2%,36.8%,
ECS,Civil Engineering,CE,CE 166,Seismic Behavr Structures,Upper,3,2,70,35,,0.0%,2.9%,0.0%,3.8%,5.1%,0.0%,0.0%,0.0%,4.5%,,,0.0%,4.5%,2.2%,4.2%,0.0%,4.3%,3.8,-5.1,-4.5,-4.5,0.0,,,-4.5,2.0,-4.3,24.3%,75.7%,44.3%,2.9%,24.3%,31.4%,,,4.3%,31.4%,65.7%,34.3%,32.9%,
ECS,Civil Engineering,CE,CE 168,Prestress Concrete Design,Upper,3,2,27,14,0.0%,,3.7%,0.0%,5.0%,6.3%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,4.8%,0.0%,0.0%,0.0%,5.0,-6.3,0.0,0.0,0.0,,,0.0,-4.8,0.0,25.9%,74.1%,40.7%,3.7%,14.8%,18.5%,,,3.7%,40.7%,77.8%,22.2%,14.8%,
ECS,Civil Engineering,CE,CE 169,Timber Design,Upper,3,2,66,33,1.5%,,31.8%,52.9%,24.5%,23.1%,44.4%,100.0%,25.0%,33.3%,,,33.3%,34.4%,29.8%,36.8%,44.4%,28.3%,-28.5,21.4,65.6,-9.4,-1.0,,,-1.0,7.1,16.2,25.8%,74.2%,40.9%,1.5%,12.1%,27.3%,,,4.5%,48.5%,71.2%,28.8%,27.3%,
ECS,Civil Engineering,CE,CE 170,Soil Mechanics,Upper,3,4,387,97,13.4%,17.1%,29.2%,27.9%,29.9%,28.2%,30.5%,66.7%,29.1%,35.7%,,0.0%,7.7%,16.3%,24.7%,37.5%,32.2%,26.0%,2.1,2.4,50.3,12.7,19.4,,-16.3,-8.7,12.8,6.2,31.5%,68.2%,43.2%,2.3%,22.2%,32.6%,,0.3%,3.4%,26.9%,64.9%,35.1%,38.5%,
ECS,Civil Engineering,CE,CE 170L,Soil Mechanics Laboratory,Upper,1,4,326,82,2.4%,1.9%,4.9%,0.0%,7.1%,3.9%,6.1%,0.0%,7.8%,3.0%,,0.0%,0.0%,2.2%,5.9%,2.8%,3.4%,6.0%,7.1,2.1,-2.2,5.6,0.9,,-2.2,-2.2,-3.1,-2.6,30.7%,69.0%,45.4%,1.8%,23.6%,30.4%,,0.3%,4.0%,28.5%,67.5%,32.5%,36.2%,
ECS,Civil Engineering,CE,CE 171,Soil Mech+Foundation Engr,Upper,3,2,27,14,,0.0%,11.1%,16.7%,9.5%,8.3%,13.3%,,0.0%,20.0%,,,,0.0%,5.9%,20.0%,0.0%,11.1%,-7.1,5.0,,0.0,20.0,,,,14.1,-11.1,22.2%,77.8%,55.6%,,14.8%,37.0%,,,,40.7%,63.0%,37.0%,29.6%,
ECS,Civil Engineering,CE,CE 175,Geotech Earthquake Engineering,Upper,3,2,15,8,0.0%,,6.7%,25.0%,0.0%,0.0%,10.0%,,0.0%,20.0%,,,,0.0%,0.0%,20.0%,14.3%,0.0%,-25.0,10.0,,0.0,20.0,,,,20.0,14.3,26.7%,73.3%,66.7%,,33.3%,33.3%,,,,33.3%,66.7%,33.3%,46.7%,
ECS,Civil Engineering,CE,CE 182,GIS in Civil Engineering,Upper,3,1,26,26,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,38.5%,61.5%,38.5%,,30.8%,38.5%,,,,30.8%,61.5%,38.5%,34.6%,
ECS,Civil Engineering,CE,CE 190,CE Project Skills,Upper,3,4,365,91,5.2%,16.8%,16.4%,12.0%,18.4%,13.7%,19.4%,36.4%,12.3%,21.4%,,0.0%,20.0%,12.0%,13.3%,22.6%,15.0%,16.2%,6.3,5.7,24.3,0.3,9.4,,-12.0,8.0,9.3,-1.2,29.6%,70.1%,47.9%,3.0%,22.2%,30.7%,,0.3%,4.1%,29.6%,66.0%,34.0%,36.4%,
ECS,Civil Engineering,CE,CE 191,Senior Project,Upper,3,4,313,78,0.0%,0.0%,0.3%,0.0%,0.5%,0.5%,0.0%,0.0%,1.4%,0.0%,,,0.0%,0.0%,0.5%,0.0%,0.0%,0.5%,0.5,-0.5,0.0,1.4,0.0,,,0.0,-0.5,-0.5,29.7%,70.0%,40.6%,2.2%,23.6%,31.9%,,,4.2%,29.1%,65.8%,34.2%,36.4%,
ECS,Civil Engineering,CE,CE 195,Field Work In Civil Engr,Upper,2.5,3,4,1,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,25.0%,75.0%,75.0%,,25.0%,25.0%,,,,25.0%,75.0%,25.0%,50.0%,
ECS,Civil Engineering,CE,CE 196B,Stormwater Management,Upper,3,1,10,10,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,20.0%,80.0%,30.0%,,10.0%,60.0%,,,,10.0%,40.0%,60.0%,30.0%,
ECS,Civil Engineering,CE,CE 196H,Concrete Technology,Upper,3,2,57,29,,0.0%,5.3%,0.0%,7.1%,5.6%,4.8%,,12.5%,5.0%,,,0.0%,0.0%,5.4%,5.0%,5.0%,2.9%,7.1,-0.8,,12.5,5.0,,,0.0,-0.4,2.1,26.3%,73.7%,36.8%,,14.0%,35.1%,,,3.5%,38.6%,64.9%,35.1%,35.1%,
ECS,Civil Engineering,CE,CE 196I,Geometric Design of Highways,Upper,3,2,54,27,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,33.3%,66.7%,51.9%,3.7%,33.3%,22.2%,,,3.7%,22.2%,74.1%,25.9%,37.0%,
ECS,Civil Engineering,CE,CE 199,Special Problems,Upper,1,2,2,1,,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,,,,0.0%,0.0%,0.0%,,,0.0,,,,,,,0.0,,100.0%,,50.0%,,,50.0%,,,,,50.0%,50.0%,50.0%,
ECS,Civil Engineering,ENGR,ENGR 105,Sustainable Design+Const,Upper,3,2,52,26,,0.0%,5.8%,8.0%,3.7%,0.0%,12.5%,,0.0%,0.0%,,0.0%,25.0%,11.1%,8.6%,0.0%,4.5%,3.8%,-4.3,12.5,,-11.1,-11.1,,-11.1,13.9,-8.6,0.7,48.1%,51.9%,46.2%,,15.4%,30.8%,,1.9%,7.7%,34.6%,67.3%,32.7%,42.3%,
ECS,Civil Engineering,ENGR,ENGR 132,Fluid Mechanics,Upper,3,4,409,102,7.9%,11.8%,14.4%,10.6%,15.5%,14.4%,14.5%,22.2%,10.9%,22.2%,,50.0%,14.3%,7.6%,10.4%,23.1%,19.0%,11.6%,4.9,0.1,14.6,3.2,14.6,,42.4,6.7,12.7,7.4,20.8%,79.0%,48.9%,2.2%,22.5%,28.6%,,1.0%,5.1%,28.9%,68.2%,31.8%,33.5%,
ECS,Computer Science,CPE,CPE 138/CSC 138,Computer Network Fundamentals,Upper,3,4,806,202,3.8%,5.2%,6.7%,6.9%,6.7%,7.5%,5.9%,15.4%,6.8%,10.5%,25.0%,0.0%,6.5%,3.3%,5.2%,11.2%,7.8%,6.2%,-0.2,-1.6,12.1,3.6,7.2,21.7,-3.3,3.3,6.0,1.6,14.4%,85.5%,48.6%,3.2%,32.6%,20.1%,0.5%,0.5%,5.7%,26.7%,75.7%,24.3%,30.4%,
ECS,Computer Science,CPE,CPE 142/CSC 142,Adv Computer Organization,Upper,3,4,137,34,5.8%,4.4%,13.9%,5.9%,15.0%,15.0%,12.3%,33.3%,11.1%,17.9%,,0.0%,14.3%,11.8%,11.0%,19.6%,10.9%,13.4%,9.1,-2.7,21.6,-0.7,6.2,,-11.8,2.5,8.6,-2.5,12.4%,87.6%,41.6%,4.4%,26.3%,28.5%,,0.7%,5.1%,24.8%,66.4%,33.6%,33.6%,
ECS,Computer Science,CSC,CSC 1,Intro To Computer Science,Lower,3,2,57,29,,0.0%,1.8%,0.0%,2.5%,4.0%,0.0%,0.0%,10.0%,0.0%,,,0.0%,0.0%,3.3%,0.0%,0.0%,2.9%,2.5,-4.0,0.0,10.0,0.0,,,0.0,-3.3,-2.9,29.8%,70.2%,56.1%,5.3%,17.5%,42.1%,,,7.0%,19.3%,52.6%,47.4%,36.8%,
ECS,Computer Science,CSC,CSC 10,Intro Programming Logic,Lower,3,2,72,36,,2.8%,9.7%,16.0%,6.4%,11.5%,8.7%,0.0%,5.6%,15.4%,,,0.0%,9.1%,7.5%,12.5%,14.3%,7.1%,-9.6,-2.8,-9.1,-3.5,6.3,,,-9.1,5.0,7.1,34.7%,65.3%,63.9%,8.3%,25.0%,36.1%,,,4.2%,15.3%,55.6%,44.4%,38.9%,
ECS,Computer Science,CSC,CSC 10A,Accel Intro Programming Logic,Lower,3,3,380,127,0.3%,19.0%,12.6%,7.5%,13.5%,10.3%,14.4%,21.4%,8.3%,15.4%,,0.0%,18.2%,11.3%,10.4%,16.1%,12.6%,13.7%,5.9,4.1,10.1,-3.0,4.1,,-11.3,6.9,5.7,-1.1,13.9%,85.8%,56.6%,7.4%,34.7%,30.8%,,1.1%,2.9%,13.9%,60.8%,39.2%,35.5%,
ECS,Computer Science,CSC,CSC 15,Program Concept+Method I,Lower,3,4,744,186,6.8%,8.5%,21.0%,22.1%,20.8%,17.6%,24.1%,28.2%,14.9%,27.4%,,42.9%,22.2%,23.7%,17.6%,28.0%,27.1%,18.3%,-1.3,6.5,4.5,-8.9,3.7,,19.1,-1.5,10.4,8.8,15.2%,84.7%,51.2%,5.2%,36.2%,26.5%,,0.9%,4.8%,18.7%,67.3%,32.7%,30.2%,
ECS,Computer Science,CSC,CSC 15P,Peer-Assisted Learning CSC 15,Lower,1,2,38,19,,,26.3%,21.4%,29.2%,31.3%,22.7%,0.0%,11.1%,30.8%,,,0.0%,40.0%,27.3%,25.0%,41.7%,9.1%,7.7,-8.5,-40.0,-28.9,-9.2,,,-40.0,-2.3,32.6,36.8%,63.2%,57.9%,7.9%,23.7%,34.2%,,,2.6%,13.2%,57.9%,42.1%,31.6%,
ECS,Computer Science,CSC,CSC 20,Program Concept+Method II,Lower,3,4,703,176,10.3%,13.1%,20.2%,22.1%,19.8%,17.6%,23.3%,45.2%,20.0%,24.7%,100.0%,14.3%,28.6%,11.8%,17.2%,28.5%,27.1%,18.7%,-2.3,5.7,33.4,8.2,12.9,88.2,2.5,16.8,11.3,8.5,16.1%,83.9%,45.1%,4.4%,37.7%,20.8%,0.3%,1.0%,5.0%,20.5%,73.5%,26.5%,26.7%,
ECS,Computer Science,CSC,CSC 21,First Year Seminar,Lower,3,2,44,22,0.0%,,27.3%,20.0%,28.2%,28.6%,26.1%,33.3%,7.1%,42.9%,,,0.0%,42.9%,18.5%,41.2%,28.6%,25.9%,8.2,-2.5,-9.5,-35.7,0.0,,,-42.9,22.7,2.6,11.4%,88.6%,52.3%,6.8%,31.8%,31.8%,,,4.5%,15.9%,61.4%,38.6%,31.8%,
ECS,Computer Science,CSC,CSC 25,Intro To C Programming,Lower,3,2,56,28,5.4%,,3.6%,0.0%,4.5%,4.0%,3.2%,0.0%,7.1%,7.1%,,,0.0%,0.0%,2.6%,5.9%,5.3%,2.9%,4.5,-0.8,0.0,7.1,7.1,,,0.0,3.3,2.3,21.4%,78.6%,55.4%,5.4%,25.0%,25.0%,,,8.9%,32.1%,69.6%,30.4%,33.9%,
ECS,Computer Science,CSC,CSC 28,Discrete Structures,Lower,3,4,651,163,6.9%,7.0%,10.0%,12.9%,9.5%,9.7%,10.4%,7.7%,9.0%,13.9%,100.0%,0.0%,10.0%,6.3%,8.8%,13.4%,12.9%,8.7%,-3.4,0.7,1.4,2.7,7.6,93.7,-6.3,3.7,4.6,4.2,14.3%,85.7%,44.4%,4.0%,35.8%,21.0%,0.3%,1.1%,4.6%,22.0%,73.6%,26.4%,28.6%,
ECS,Computer Science,CSC,CSC 35,Intro Comp Architecture,Lower,3,4,649,162,11.7%,23.5%,31.1%,33.7%,30.7%,31.1%,31.1%,40.6%,27.1%,34.3%,100.0%,42.9%,28.6%,26.9%,29.0%,36.9%,32.8%,29.7%,-3.0,0.0,13.7,0.2,7.4,73.1,15.9,1.6,8.0,3.1,13.7%,86.3%,46.1%,4.9%,37.0%,20.6%,0.5%,1.1%,4.3%,20.0%,72.9%,27.1%,29.1%,
ECS,Computer Science,CSC,CSC 60,Intro System Program Unix,Lower,3,4,697,174,2.5%,4.1%,5.2%,2.2%,5.6%,5.5%,4.8%,10.0%,5.3%,4.4%,,0.0%,2.7%,6.3%,5.2%,5.0%,5.4%,4.6%,3.5,-0.7,3.7,-1.0,-1.9,,-6.3,-3.6,-0.2,0.8,13.3%,86.7%,44.9%,2.9%,32.4%,19.5%,,0.6%,5.3%,27.4%,77.0%,23.0%,29.1%,
ECS,Computer Science,CSC,CSC 115,Internet Security,Upper,3,1,7,7,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,42.9%,57.1%,71.4%,,,14.3%,,,,85.7%,85.7%,14.3%,14.3%,
ECS,Computer Science,CSC,CSC 116,Cyber Forensics,Upper,3,1,9,9,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,44.4%,55.6%,55.6%,,,22.2%,,,11.1%,66.7%,77.8%,22.2%,22.2%,
ECS,Computer Science,CSC,CSC 130,Data Structure+Algorithm Analy,Upper,3,4,996,249,7.0%,13.1%,16.4%,16.8%,16.3%,13.0%,20.0%,25.6%,16.2%,23.2%,0.0%,0.0%,9.8%,11.1%,14.4%,22.7%,26.4%,11.6%,-0.5,7.1,14.6,5.1,12.1,-11.1,-11.1,-1.3,8.3,14.8,13.2%,86.8%,48.1%,3.9%,31.6%,19.1%,0.1%,0.8%,5.1%,27.2%,76.1%,23.9%,30.8%,
ECS,Computer Science,CSC,CSC 131,Computer Software Engr,Upper,3,4,872,218,1.0%,2.6%,3.8%,2.4%,4.0%,4.9%,2.6%,3.4%,2.9%,5.0%,0.0%,16.7%,2.0%,3.7%,3.4%,5.1%,2.4%,4.4%,1.6,-2.3,-0.2,-0.8,1.4,-3.7,13.0,-1.7,1.7,-2.0,14.3%,85.7%,48.3%,3.3%,32.0%,18.2%,0.2%,0.7%,5.7%,28.1%,77.5%,22.5%,29.0%,
ECS,Computer Science,CSC,CSC 133,Obj-Oriented Cmptr Graph,Upper,3,4,639,160,14.1%,17.4%,22.4%,26.9%,21.7%,22.9%,21.9%,30.0%,25.4%,26.5%,0.0%,33.3%,20.0%,16.5%,21.2%,26.6%,23.9%,21.6%,-5.2,-1.0,13.5,8.9,10.0,-16.5,16.8,3.5,5.4,2.3,14.6%,85.3%,48.7%,3.1%,32.7%,18.3%,0.5%,0.5%,5.5%,30.4%,77.6%,22.4%,32.1%,
ECS,Computer Science,CSC,CSC 134,Database Management Systems,Upper,3,4,732,183,4.3%,7.5%,9.7%,8.6%,9.9%,8.6%,10.8%,12.5%,6.5%,11.4%,25.0%,25.0%,22.2%,8.4%,9.0%,12.2%,8.2%,10.3%,1.3,2.2,4.1,-1.9,2.9,16.6,16.6,13.8,3.2,-2.0,14.3%,85.5%,49.2%,3.3%,31.4%,18.0%,0.5%,0.5%,4.9%,30.7%,77.6%,22.4%,28.3%,
ECS,Computer Science,CSC,CSC 135,Computability and Formal Lang,Upper,3,4,726,182,13.3%,15.0%,25.8%,20.7%,26.5%,27.3%,24.2%,40.0%,26.8%,32.3%,0.0%,0.0%,20.5%,19.1%,23.8%,32.7%,28.2%,24.4%,5.9,-3.2,20.9,7.8,13.2,-19.1,-19.1,1.4,8.9,3.9,12.7%,87.2%,49.6%,3.4%,31.8%,17.9%,0.3%,0.3%,6.1%,29.6%,78.1%,21.9%,29.8%,
ECS,Computer Science,CSC,CSC 137,Computer Organization,Upper,3,4,665,166,6.6%,7.4%,10.4%,7.7%,10.8%,10.8%,9.9%,27.8%,8.1%,12.0%,0.0%,0.0%,10.0%,11.2%,9.5%,13.7%,10.5%,10.3%,3.1,-0.8,16.6,-3.1,0.7,-11.2,-11.2,-1.2,4.2,0.1,13.7%,86.2%,48.4%,2.7%,33.4%,17.6%,0.3%,0.3%,6.0%,29.5%,79.1%,20.9%,28.7%,
ECS,Computer Science,CSC,CSC 139,Operating System Principles,Upper,3,4,836,209,16.1%,11.1%,14.1%,12.1%,14.5%,14.5%,13.6%,20.0%,14.6%,15.0%,60.0%,0.0%,19.6%,9.8%,13.4%,16.5%,14.8%,13.9%,2.4,-0.9,10.2,4.8,5.2,50.2,-9.8,9.8,3.1,0.8,13.9%,86.0%,46.5%,3.0%,32.1%,18.3%,0.6%,0.6%,6.1%,28.1%,77.5%,22.5%,29.2%,
ECS,Computer Science,CSC,CSC 140,Adv Algorithm Dsgn+Analy,Upper,3,4,97,24,8.2%,2.1%,50.5%,62.5%,49.4%,44.4%,58.1%,40.0%,60.0%,63.2%,,100.0%,57.1%,32.4%,47.2%,60.0%,65.0%,42.3%,-13.1,13.7,7.6,27.6,30.8,,67.6,24.8,12.8,22.7,8.2%,91.8%,44.3%,5.2%,20.6%,19.6%,,1.0%,7.2%,35.1%,74.2%,25.8%,20.6%,
ECS,Computer Science,CSC,CSC 148,Modeling+Experimental Design,Upper,3,2,41,21,7.3%,,24.4%,40.0%,22.2%,26.7%,23.1%,100.0%,33.3%,25.0%,,,33.3%,12.5%,20.0%,50.0%,16.7%,26.7%,-17.8,-3.6,87.5,20.8,12.5,,,20.8,30.0,-10.0,12.2%,87.8%,63.4%,4.9%,29.3%,9.8%,,,7.3%,39.0%,85.4%,14.6%,14.6%,
ECS,Computer Science,CSC,CSC 151,Compiler Construction,Upper,3,1,19,19,,10.5%,36.8%,0.0%,38.9%,25.0%,57.1%,,20.0%,50.0%,100.0%,,50.0%,42.9%,31.3%,66.7%,50.0%,33.3%,38.9,32.1,,-22.9,7.1,57.1,,7.1,35.4,16.7,5.3%,94.7%,36.8%,,26.3%,10.5%,5.3%,,10.5%,36.8%,84.2%,15.8%,21.1%,
ECS,Computer Science,CSC,CSC 152,Cryptography,Upper,3,4,181,45,0.0%,4.6%,21.5%,25.0%,21.1%,20.8%,22.7%,0.0%,37.5%,25.0%,0.0%,0.0%,0.0%,14.3%,21.3%,22.5%,35.3%,17.4%,-3.9,1.9,-14.3,23.2,10.7,-14.3,-14.3,-14.3,1.2,17.9,11.0%,89.0%,41.4%,1.1%,22.1%,19.9%,0.6%,0.6%,8.3%,38.7%,77.9%,22.1%,18.8%,
ECS,Computer Science,CSC,CSC 153,Comp Forensics Princ & Pract,Upper,3,3,103,34,1.5%,2.7%,7.8%,4.3%,8.8%,9.8%,4.8%,0.0%,8.3%,17.6%,,,0.0%,3.4%,6.0%,15.8%,6.7%,6.1%,4.4,-5.1,-3.4,4.9,14.2,,,-3.4,9.8,0.6,22.3%,77.7%,40.8%,1.9%,35.0%,16.5%,,,8.7%,28.2%,81.6%,18.4%,29.1%,
ECS,Computer Science,CSC,CSC 154,Compsys Attck+Countermsur,Upper,3,4,241,60,0.9%,0.0%,5.4%,0.0%,6.1%,5.9%,4.8%,0.0%,4.4%,4.1%,,100.0%,6.3%,6.7%,5.4%,5.5%,3.1%,6.8%,6.1,-1.1,-6.7,-2.3,-2.6,,93.3,-0.4,0.1,-3.8,10.8%,88.8%,43.6%,2.1%,28.2%,20.3%,,0.4%,6.6%,31.1%,77.2%,22.8%,27.0%,
ECS,Computer Science,CSC,CSC 155,Adv Computer Graphics,Upper,3,2,88,44,,0.0%,14.8%,20.0%,14.5%,16.0%,13.2%,,30.4%,6.3%,0.0%,0.0%,0.0%,11.8%,17.1%,5.6%,18.8%,14.3%,-5.5,-2.8,,18.7,-5.5,-11.8,-11.8,-11.8,-11.6,4.5,5.7%,94.3%,43.2%,,26.1%,18.2%,1.1%,1.1%,6.8%,38.6%,79.5%,20.5%,18.2%,
ECS,Computer Science,CSC,CPE 159/CSC 159,Operating System Pragmatics,Upper,3,4,169,42,2.2%,0.0%,3.0%,0.0%,3.4%,2.1%,4.0%,0.0%,2.5%,6.8%,,0.0%,14.3%,0.0%,1.7%,6.3%,0.0%,3.8%,3.4,1.9,0.0,2.5,6.8,,0.0,14.3,4.6,-3.8,13.0%,87.0%,44.4%,1.8%,23.7%,26.0%,,0.6%,4.1%,34.3%,71.6%,28.4%,32.0%,
ECS,Computer Science,CSC,CSC 163,Parallel Programming GPUs,Upper,3,3,84,28,0.0%,4.2%,20.2%,11.1%,21.3%,28.6%,11.9%,100.0%,19.2%,16.7%,,,50.0%,3.6%,18.6%,28.6%,18.2%,20.0%,10.2,-16.7,96.4,15.7,13.1,,,46.4,10.0,-1.8,10.7%,89.3%,50.0%,2.4%,31.0%,14.3%,,,4.8%,33.3%,83.3%,16.7%,26.2%,
ECS,Computer Science,CSC,CSC 165,Comp Game Arc+Implemntatn,Upper,3,2,90,45,1.8%,3.0%,3.3%,0.0%,3.5%,4.4%,2.2%,0.0%,11.1%,0.0%,0.0%,,0.0%,2.8%,4.3%,0.0%,0.0%,4.6%,3.5,-2.2,-2.8,8.3,-2.8,-2.8,,-2.8,-4.3,-4.6,5.6%,94.4%,50.0%,1.1%,20.0%,18.9%,2.2%,,3.3%,40.0%,77.8%,22.2%,23.3%,
ECS,Computer Science,CSC,CSC 170,Software Requiremnt+Spec,Upper,3,3,183,61,0.0%,0.0%,0.5%,0.0%,0.7%,1.1%,0.0%,0.0%,1.3%,0.0%,,0.0%,0.0%,0.0%,0.7%,0.0%,0.0%,0.9%,0.7,-1.1,0.0,1.3,0.0,,0.0,0.0,-0.7,-0.9,20.8%,79.2%,48.6%,4.4%,42.1%,15.8%,,1.1%,2.7%,24.0%,78.7%,21.3%,31.7%,
ECS,Computer Science,CSC,CSC 171,Software Engr Project Mgmt,Upper,3,4,182,46,1.1%,1.1%,4.4%,6.7%,3.9%,2.4%,6.1%,22.2%,4.5%,0.0%,0.0%,100.0%,9.1%,0.0%,3.4%,8.1%,8.9%,2.6%,-2.7,3.7,22.2,4.5,0.0,0.0,100.0,9.1,4.7,6.3,16.5%,83.5%,53.8%,4.9%,36.8%,14.3%,0.5%,0.5%,6.0%,28.6%,79.7%,20.3%,30.8%,
